iter	Passed	Remaining
1041	45715	66554
1042	45759	66510
1043	45801	66464
1044	45844	66420
1045	45890	66378
1046	45937	66338
1047	45983	66298
1048	46035	66266
1049	46080	66224
1050	46117	66170
1051	46161	66126
1052	46207	66085
1053	46247	66036
1054	46296	66000
1055	46347	65965
1056	46398	65932
1057	46447	65895
1058	46489	65849
1059	46529	65799
1060	46574	65757
1061	46627	65726
1062	46674	65686
1063	46720	65645
1064	46768	65608
1065	46817	65570
1066	46863	65529
1067	46912	65492
1068	46952	65444
1069	47000	65405
1070	47048	65366
1071	47098	65331
1072	47150	65298
1073	47202	65265
1074	47251	65228
1075	47293	65181
1076	47338	65139
1077	47384	65099
1078	47427	65053
1079	47475	65014
1080	47522	64975
1081	47564	64928
1082	47608	64885
1083	47653	64842
1084	47703	64806
1085	47750	64766
1086	47793	64720
1087	47834	64673
1088	47872	64621
1089	47912	64571
1090	47952	64523
1091	47992	64473
1092	48032	64423
1093	48075	64378
1094	48120	64336
1095	48162	64289
1096	48206	64246
1097	48249	64200
1098	48288	64150
1099	48334	64109
1100	48378	64065
1101	48417	64014
1102	48460	63969
1103	48502	63923
1104	48541	63872
1105	48580	63822
1106	48617	63769
1107	48655	63717
1108	48694	63667
1109	48732	63615
1110	48771	63565
1111	48810	63515
1112	48854	63471
1113	48888	63414
1114	48928	63365
1115	48964	63312
1116	49008	63267
1117	49050	63221
1118	49090	63173
1119	49133	63127
1120	49179	63086
1121	49220	63039
1122	49260	62990
1123	49297	62937
1124	49336	62887
1125	49378	62841
1126	49420	62794
1127	49460	62746
1128	49500	62697
1129	49533	62640
1130	49571	62588
1131	49609	62537
1132	49651	62491
1133	49691	62443
1134	49727	62389
1135	49766	62339
1136	49805	62289
1137	49846	62242
1138	49886	62193
1139	49922	62140
1140	49964	62094
1141	50004	62046
1142	50042	61995
1143	50081	61945
1144	50120	61896
1145	50161	61848
1146	50203	61802
1147	50237	61746
1148	50274	61694
1149	50311	61643
1150	50352	61595
1151	50390	61544
1152	50427	61492
1153	50468	61445
1154	50508	61396
1155	50546	61346
1156	50583	61295
1157	50621	61244
1158	50658	61192
1159	50695	61140
1160	50735	61091
1161	50775	61044
1162	50812	60992
1163	50853	60945
1164	50893	60897
1165	50935	60851
1166	50977	60805
1167	51018	60758
1168	51059	60712
1169	51109	60676
1170	51159	60639
1171	51207	60601
1172	51246	60551
1173	51288	60505
1174	51328	60458
1175	51370	60412
1176	51420	60376
1177	51464	60333
1178	51506	60287
1179	51552	60246
1180	51603	60211
1181	51651	60172
1182	51691	60124
1183	51740	60087
1184	51793	60054
1185	51842	60017
1186	51890	59978
1187	51940	59941
1188	51983	59896
1189	52030	59857
1190	52082	59822
1191	52126	59779
1192	52167	59732
1193	52206	59683
1194	52247	59636
1195	52288	59589
1196	52329	59543
1197	52369	59494
1198	52408	59445
1199	52451	59401
1200	52498	59361
1201	52540	59315
1202	52584	59272
1203	52628	59228
1204	52668	59181
1205	52710	59135
1206	52753	59090
1207	52794	59043
1208	52837	59000
1209	52878	58952
1210	52919	58905
1211	52963	58863
1212	53004	58815
1213	53046	58770
1214	53089	58726
1215	53129	58678
1216	53172	58634
1217	53218	58592
1218	53255	58542
1219	53295	58494
1220	53335	58446
1221	53383	58406
1222	53424	58360
1223	53467	58316
1224	53512	58273
1225	53554	58228
1226	53596	58182
1227	53634	58133
1228	53676	58087
1229	53718	58041
1230	53760	57996
1231	53803	57952
1232	53844	57905
1233	53888	57862
1234	53931	57818
1235	53978	57777
1236	54018	57730
1237	54061	57685
1238	54101	57637
1239	54144	57593
1240	54191	57553
1241	54234	57509
1242	54276	57464
1243	54322	57423
1244	54364	57377
1245	54406	57331
1246	54449	57287
1247	54492	57243
1248	54534	57197
1249	54578	57154
1250	54622	57111
1251	54662	57064
1252	54708	57022
1253	54746	56973
1254	54789	56929
1255	54832	56883
1256	54875	56840
1257	54919	56796
1258	54962	56752
1259	55007	56709
1260	55047	56663
1261	55092	56620
1262	55136	56577
1263	55176	56530
1264	55219	56485
1265	55264	56443
1266	55302	56394
1267	55346	56349
1268	55388	56304
1269	55431	56260
1270	55474	56216
1271	55518	56173
1272	55559	56126
1273	55601	56081
1274	55647	56040
1275	55690	55995
1276	55728	55947
1277	55767	55898
1278	55808	55852
1279	55848	55805
1280	55891	55760
1281	55937	55718
1282	55979	55673
1283	56022	55629
1284	56064	55584
1285	56103	55536
1286	56146	55492
1287	56193	55451
1288	56239	55410
1289	56281	55364
1290	56325	55322
1291	56369	55278
1292	56414	55236
1293	56454	55188
1294	56492	55139
1295	56534	55095
1296	56583	55056
1297	56627	55013
1298	56669	54967
1299	56710	54921
1300	56752	54876
1301	56798	54835
1302	56840	54790
1303	56883	54746
1304	56925	54701
1305	56970	54658
1306	57014	54615
1307	57055	54569
1308	57099	54525
1309	57141	54480
1310	57188	54440
1311	57233	54398
1312	57280	54357
1313	57325	54315
1314	57369	54271
1315	57413	54228
1316	57460	54187
1317	57508	54149
1318	57559	54111
1319	57608	54073
1320	57651	54028
1321	57687	53978
1322	57728	53932
1323	57770	53886
1324	57810	53840
1325	57853	53795
1326	57896	53752
1327	57942	53710
1328	57985	53665
1329	58024	53618
1330	58069	53575
1331	58113	53532
1332	58156	53487
1333	58199	53444
1334	58242	53399
1335	58286	53356
1336	58334	53317
1337	58385	53280
1338	58432	53239
1339	58479	53198
1340	58526	53158
1341	58568	53113
1342	58616	53073
1343	58662	53032
1344	58712	52994
1345	58759	52953
1346	58800	52907
1347	58841	52860
1348	58886	52819
1349	58929	52774
1350	58982	52739
1351	59028	52697
1352	59079	52660
1353	59125	52618
1354	59175	52581
1355	59227	52545
1356	59271	52501
1357	59316	52458
1358	59364	52419
1359	59407	52374
1360	59459	52337
1361	59510	52300
1362	59561	52263
1363	59606	52221
1364	59643	52171
1365	59683	52124
1366	59727	52081
1367	59778	52043
1368	59826	52004
1369	59876	51965
1370	59922	51923
1371	59968	51882
1372	60011	51838
1373	60066	51804
1374	60120	51769
1375	60172	51732
1376	60220	51692
1377	60265	51649
1378	60319	51615
1379	60369	51576
1380	60417	51536
1381	60457	51489
1382	60501	51445
1383	60552	51408
1384	60602	51369
1385	60652	51331
1386	60700	51291
1387	60750	51252
1388	60798	51212
1389	60855	51179
1390	60906	51142
1391	60956	51103
1392	61007	51066
1393	61056	51026
1394	61107	50988
1395	61167	50958
1396	61216	50919
1397	61261	50875
1398	61318	50843
1399	61372	50807
1400	61424	50770
1401	61473	50731
1402	61526	50694
1403	61578	50657
1404	61624	50615
1405	61676	50578
1406	61731	50543
1407	61797	50518
1408	61860	50489
1409	61922	50460
1410	61986	50432
1411	62053	50407
1412	62106	50371
1413	62163	50337
1414	62229	50311
1415	62301	50290
1416	62368	50264
1417	62411	50219
1418	62459	50178
1419	62519	50147
1420	62598	50131
1421	62679	50117
1422	62726	50075
1423	62770	50031
1424	62823	49994
1425	62878	49959
1426	62931	49922
1427	62990	49889
1428	63045	49854
1429	63095	49814
1430	63144	49774
1431	63204	49742
1432	63256	49704
1433	63301	49661
1434	63349	49620
1435	63399	49580
1436	63450	49541
1437	63499	49501
1438	63544	49457
1439	63593	49417
1440	63639	49374
1441	63680	49327
1442	63719	49280
1443	63766	49237
1444	63810	49193
1445	63855	49149
1446	63895	49102
1447	63933	49053
1448	63980	49011
1449	64024	48968
1450	64072	48926
1451	64125	48888
1452	64172	48846
1453	64214	48801
1454	64258	48757
1455	64300	48711
1456	64345	48667
1457	64389	48623
1458	64434	48579
1459	64478	48535
1460	64520	48489
1461	64570	48450
1462	64623	48412
1463	64670	48370
1464	64717	48328
1465	64757	48280
1466	64800	48235
1467	64841	48189
1468	64887	48146
1469	64933	48104
1470	64975	48057
1471	65024	48017
1472	65068	47973
1473	65115	47931
1474	65162	47888
1475	65207	47845
1476	65251	47801
1477	65298	47758
1478	65345	47716
1479	65394	47676
1480	65439	47632
1481	65487	47590
1482	65527	47543
1483	65567	47496
1484	65612	47452
1485	65656	47409
1486	65701	47365
1487	65751	47324
1488	65794	47280
1489	65838	47235
1490	65880	47190
1491	65922	47144
1492	65968	47101
1493	66011	47056
1494	66052	47010
1495	66095	46964
1496	66141	46922
1497	66184	46877
1498	66230	46834
1499	66271	46787
1500	66313	46742
1501	66355	46696
1502	66398	46651
1503	66440	46605
1504	66477	46556
1505	66520	46511
1506	66569	46470
1507	66604	46420
1508	66644	46372
1509	66686	46327
1510	66729	46282
1511	66774	46238
1512	66814	46191
1513	66860	46148
1514	66902	46102
1515	66946	46058
1516	66991	46014
1517	67033	45969
1518	67072	45921
1519	67120	45880
1520	67172	45841
1521	67210	45793
1522	67251	45747
1523	67292	45700
1524	67336	45656
1525	67382	45613
1526	67424	45567
1527	67468	45523
1528	67517	45482
1529	67562	45438
1530	67597	45388
1531	67637	45342
1532	67681	45297
1533	67721	45250
1534	67763	45204
1535	67804	45158
1536	67846	45113
1537	67885	45065
1538	67928	45020
1539	67973	44977
1540	68018	44933
1541	68060	44888
1542	68100	44841
1543	68147	44798
1544	68196	44758
1545	68237	44712
1546	68279	44666
1547	68322	44621
1548	68365	44576
1549	68408	44531
1550	68448	44484
1551	68493	44441
1552	68535	44395
1553	68578	44350
1554	68621	44306
1555	68663	44260
1556	68701	44212
1557	68745	44168
1558	68792	44126
1559	68836	44081
1560	68879	44036
1561	68920	43990
1562	68962	43945
1563	69007	43901
1564	69051	43857
1565	69095	43813
1566	69137	43767
1567	69180	43723
1568	69222	43677
1569	69261	43630
1570	69300	43583
1571	69340	43536
1572	69381	43490
1573	69422	43444
1574	69465	43399
1575	69510	43355
1576	69552	43310
1577	69595	43265
1578	69636	43219
1579	69674	43171
1580	69720	43129
1581	69765	43085
1582	69812	43043
1583	69857	42999
1584	69905	42957
1585	69950	42914
1586	69991	42867
1587	70033	42822
1588	70075	42777
1589	70122	42735
1590	70166	42690
1591	70209	42646
